"node_from","node_to","iteration","edge_type","value"
"V3","V11","iter1","present",116
"V4","V11","iter1","present",88
"V5","V11","iter1","present",70
"V6","V11","iter1","present",91
"V7","V11","iter1","present",111
"V8","V11","iter1","present",110
"V9","V11","iter1","present",61
"V10","V11","iter1","present",89
"V11","V11","iter1","present",135
"V12","V11","iter1","present",105
"V13","V11","iter1","present",72
"T","V11","iter1","present",0
"V1","V12","iter1","present",101
"V2","V12","iter1","present",94
"V3","V12","iter1","present",110
"V4","V12","iter1","present",69
"V5","V12","iter1","present",108
"V6","V12","iter1","present",110
"V7","V12","iter1","present",124
"V8","V12","iter1","present",126
"V9","V12","iter1","present",56
"V10","V12","iter1","present",84
"V11","V12","iter1","present",97
"V12","V12","iter1","present",94
"V13","V12","iter1","present",75
"T","V12","iter1","present",0
"V1","V13","iter1","present",108
"V2","V13","iter1","present",82
"V3","V13","iter1","present",83
"V4","V13","iter1","present",63
"V5","V13","iter1","present",54
"V6","V13","iter1","present",77
"V7","V13","iter1","present",84
"V8","V13","iter1","present",85
"V9","V13","iter1","present",49
"V10","V13","iter1","present",78
"V11","V13","iter1","present",81
"V12","V13","iter1","present",85
"V13","V13","iter1","present",73
"T","V13","iter1","present",0
"V1","T","iter1","present",1268
"V2","T","iter1","present",1075
"V3","T","iter1","present",1281
"V4","T","iter1","present",1145
"V5","T","iter1","present",1170
"V6","T","iter1","present",1240
"V7","T","iter1","present",1247
"V8","T","iter1","present",1260
"V9","T","iter1","present",1265
"V10","T","iter1","present",1240
"V11","T","iter1","present",1329
"V12","T","iter1","present",1284
"V13","T","iter1","present",1244
"T","T","iter1","present",0
"V1","V1","iter2","present",82
"V2","V1","iter2","present",61
"V3","V1","iter2","present",102
"V4","V1","iter2","present",118
"V5","V1","iter2","present",85
"V6","V1","iter2","present",143
"V7","V1","iter2","present",94
"V8","V1","iter2","present",150
"V9","V1","iter2","present",92
"V10","V1","iter2","present",62
"V11","V1","iter2","present",63
"V12","V1","iter2","present",63
"V13","V1","iter2","present",69
"T","V1","iter2","present",0
"V1","V2","iter2","present",71
"V2","V2","iter2","present",74
"V3","V2","iter2","present",95
"V4","V2","iter2","present",99
"V5","V2","iter2","present",82
"V6","V2","iter2","present",121
"V7","V2","iter2","present",74
"V8","V2","iter2","present",134
"V9","V2","iter2","present",55
"V10","V2","iter2","present",51
"V11","V2","iter2","present",60
"V12","V2","iter2","present",38
"V13","V2","iter2","present",49
"T","V2","iter2","present",0
"V1","V3","iter2","present",107
"V2","V3","iter2","present",80
"V3","V3","iter2","present",91
"V4","V3","iter2","present",102
"V5","V3","iter2","present",96
"V6","V3","iter2","present",143
"V7","V3","iter2","present",69
"V8","V3","iter2","present",140
"V9","V3","iter2","present",82
"V10","V3","iter2","present",48
"V11","V3","iter2","present",75
"V12","V3","iter2","present",55
"V13","V3","iter2","present",70
"T","V3","iter2","present",0
"V1","V4","iter2","present",116
"V2","V4","iter2","present",54
"V3","V4","iter2","present",86
"V4","V4","iter2","present",99
"V5","V4","iter2","present",97
"V6","V4","iter2","present",140
"V7","V4","iter2","present",94
"V8","V4","iter2","present",158
"V9","V4","iter2","present",78
"V10","V4","iter2","present",58
"V11","V4","iter2","present",80
"V12","V4","iter2","present",60
"V13","V4","iter2","present",70
"T","V4","iter2","present",0
"V1","V5","iter2","present",91
"V2","V5","iter2","present",85
"V3","V5","iter2","present",94
"V4","V5","iter2","present",125
"V5","V5","iter2","present",72
"V6","V5","iter2","present",102
"V7","V5","iter2","present",85
"V8","V5","iter2","present",163
"V9","V5","iter2","present",77
"V10","V5","iter2","present",56
"V11","V5","iter2","present",70
"V12","V5","iter2","present",59
"V13","V5","iter2","present",82
"T","V5","iter2","present",0
"V1","V6","iter2","present",120
"V2","V6","iter2","present",120
"V3","V6","iter2","present",128
"V4","V6","iter2","present",130
"V5","V6","iter2","present",129
"V6","V6","iter2","present",154
"V7","V6","iter2","present",101
"V8","V6","iter2","present",175
"V9","V6","iter2","present",98
"V10","V6","iter2","present",65
"V11","V6","iter2","present",96
"V12","V6","iter2","present",56
"V13","V6","iter2","present",106
"T","V6","iter2","present",0
"V1","V7","iter2","present",93
"V2","V7","iter2","present",93
"V3","V7","iter2","present",103
"V4","V7","iter2","present",86
"V5","V7","iter2","present",94
"V6","V7","iter2","present",138
"V7","V7","iter2","present",81
"V8","V7","iter2","present",77
"V9","V7","iter2","present",91
"V10","V7","iter2","present",45
"V11","V7","iter2","present",63
"V12","V7","iter2","present",50
"V13","V7","iter2","present",53
"T","V7","iter2","present",0
"V1","V8","iter2","present",122
"V2","V8","iter2","present",109
"V3","V8","iter2","present",121
"V4","V8","iter2","present",149
"V5","V8","iter2","present",109
"V6","V8","iter2","present",184
"V7","V8","iter2","present",102
"V8","V8","iter2","present",152
"V9","V8","iter2","present",103
"V10","V8","iter2","present",52
"V11","V8","iter2","present",89
"V12","V8","iter2","present",59
"V13","V8","iter2","present",107
"T","V8","iter2","present",0
"V1","V9","iter2","present",107
"V2","V9","iter2","present",81
"V3","V9","iter2","present",115
"V4","V9","iter2","present",129
"V5","V9","iter2","present",92
"V6","V9","iter2","present",140
"V7","V9","iter2","present",95
"V8","V9","iter2","present",123
"V9","V9","iter2","present",84
"V10","V9","iter2","present",58
"V11","V9","iter2","present",66
"V12","V9","iter2","present",54
"V13","V9","iter2","present",61
"T","V9","iter2","present",0
"V1","V10","iter2","present",86
"V2","V10","iter2","present",61
"V3","V10","iter2","present",59
"V4","V10","iter2","present",82
"V5","V10","iter2","present",82
"V6","V10","iter2","present",87
"V7","V10","iter2","present",48
"V8","V10","iter2","present",107
"V9","V10","iter2","present",61
"V10","V10","iter2","present",45
"V11","V10","iter2","present",64
"V12","V10","iter2","present",39
"V13","V10","iter2","present",73
"T","V10","iter2","present",0
"V1","V11","iter2","present",78
"V2","V11","iter2","present",75
"V3","V11","iter2","present",74
"V4","V11","iter2","present",121
"V5","V11","iter2","present",96
"V6","V11","iter2","present",123
"V7","V11","iter2","present",71
"V8","V11","iter2","present",128
"V9","V11","iter2","present",99
"V10","V11","iter2","present",61
"V11","V11","iter2","present",68
"V12","V11","iter2","present",48
"V13","V11","iter2","present",87
"T","V11","iter2","present",0
"V1","V12","iter2","present",67
"V2","V12","iter2","present",63
"V3","V12","iter2","present",75
"V4","V12","iter2","present",88
"V5","V12","iter2","present",68
"V6","V12","iter2","present",100
"V7","V12","iter2","present",55
"V8","V12","iter2","present",114
"V9","V12","iter2","present",76
"V10","V12","iter2","present",53
"V11","V12","iter2","present",54
"V12","V12","iter2","present",69
"V13","V12","iter2","present",78
"T","V12","iter2","present",0
"V1","V13","iter2","present",107
"V2","V13","iter2","present",82
"V3","V13","iter2","present",92
"V4","V13","iter2","present",88
"V5","V13","iter2","present",84
"V6","V13","iter2","present",138
"V7","V13","iter2","present",81
"V8","V13","iter2","present",140
"V9","V13","iter2","present",83
"V10","V13","iter2","present",51
"V11","V13","iter2","present",74
"V12","V13","iter2","present",55
"V13","V13","iter2","present",116
"T","V13","iter2","present",0
"V1","T","iter2","present",1221
"V2","T","iter2","present",1076
"V3","T","iter2","present",1257
"V4","T","iter2","present",1156
"V5","T","iter2","present",1180
"V6","T","iter2","present",1373
"V7","T","iter2","present",1156
"V8","T","iter2","present",1327
"V9","T","iter2","present",1331
"V10","T","iter2","present",1087
"V11","T","iter2","present",1338
"V12","T","iter2","present",1215
"V13","T","iter2","present",1361
"T","T","iter2","present",0
"V1","V1","iter3","present",141
"V2","V1","iter3","present",94
"V3","V1","iter3","present",118
"V4","V1","iter3","present",97
"V5","V1","iter3","present",137
"V6","V1","iter3","present",103
"V7","V1","iter3","present",188
"V8","V1","iter3","present",87
"V9","V1","iter3","present",63
"V10","V1","iter3","present",90
"V11","V1","iter3","present",66
"V12","V1","iter3","present",73
"V13","V1","iter3","present",60
"T","V1","iter3","present",0
"V1","V2","iter3","present",95
"V2","V2","iter3","present",113
"V3","V2","iter3","present",120
"V4","V2","iter3","present",69
"V5","V2","iter3","present",123
"V6","V2","iter3","present",105
"V7","V2","iter3","present",188
"V8","V2","iter3","present",80
"V9","V2","iter3","present",61
"V10","V2","iter3","present",104
"V11","V2","iter3","present",55
"V12","V2","iter3","present",71
"V13","V2","iter3","present",57
"T","V2","iter3","present",0
"V1","V3","iter3","present",104
"V2","V3","iter3","present",95
"V3","V3","iter3","present",94
"V4","V3","iter3","present",66
"V5","V3","iter3","present",110
"V6","V3","iter3","present",75
"V7","V3","iter3","present",125
"V8","V3","iter3","present",92
"V9","V3","iter3","present",63
"V10","V3","iter3","present",113
"V11","V3","iter3","present",56
"V12","V3","iter3","present",96
"V13","V3","iter3","present",66
"T","V3","iter3","present",0
"V1","V4","iter3","present",78
"V2","V4","iter3","present",95
"V3","V4","iter3","present",80
"V4","V4","iter3","present",70
"V5","V4","iter3","present",89
"V6","V4","iter3","present",62
"V7","V4","iter3","present",114
"V8","V4","iter3","present",72
"V9","V4","iter3","present",49
"V10","V4","iter3","present",79
"V11","V4","iter3","present",56
"V12","V4","iter3","present",69
"V13","V4","iter3","present",58
"T","V4","iter3","present",0
"V1","V5","iter3","present",113
"V2","V5","iter3","present",149
"V3","V5","iter3","present",123
"V4","V5","iter3","present",73
"V5","V5","iter3","present",137
"V6","V5","iter3","present",76
"V7","V5","iter3","present",193
"V8","V5","iter3","present",81
"V9","V5","iter3","present",55
"V10","V5","iter3","present",99
"V11","V5","iter3","present",86
"V12","V5","iter3","present",69
"V13","V5","iter3","present",60
"T","V5","iter3","present",0
"V1","V6","iter3","present",90
"V2","V6","iter3","present",113
"V3","V6","iter3","present",94
"V4","V6","iter3","present",62
"V5","V6","iter3","present",76
"V6","V6","iter3","present",68
"V7","V6","iter3","present",164
"V8","V6","iter3","present",65
"V9","V6","iter3","present",46
"V10","V6","iter3","present",68
"V11","V6","iter3","present",60
"V12","V6","iter3","present",75
"V13","V6","iter3","present",46
"T","V6","iter3","present",0
"V1","V7","iter3","present",137
"V2","V7","iter3","present",173
"V3","V7","iter3","present",136
"V4","V7","iter3","present",134
"V5","V7","iter3","present",147
"V6","V7","iter3","present",101
"V7","V7","iter3","present",127
"V8","V7","iter3","present",71
"V9","V7","iter3","present",96
"V10","V7","iter3","present",113
"V11","V7","iter3","present",81
"V12","V7","iter3","present",84
"V13","V7","iter3","present",65
"T","V7","iter3","present",0
"V1","V8","iter3","present",104
"V2","V8","iter3","present",112
"V3","V8","iter3","present",84
"V4","V8","iter3","present",64
"V5","V8","iter3","present",90
"V6","V8","iter3","present",62
"V7","V8","iter3","present",101
"V8","V8","iter3","present",59
"V9","V8","iter3","present",48
"V10","V8","iter3","present",81
"V11","V8","iter3","present",82
"V12","V8","iter3","present",72
"V13","V8","iter3","present",56
"T","V8","iter3","present",0
"V1","V9","iter3","present",96
"V2","V9","iter3","present",88
"V3","V9","iter3","present",98
"V4","V9","iter3","present",64
"V5","V9","iter3","present",92
"V6","V9","iter3","present",62
"V7","V9","iter3","present",118
"V8","V9","iter3","present",66
"V9","V9","iter3","present",80
"V10","V9","iter3","present",97
"V11","V9","iter3","present",67
"V12","V9","iter3","present",62
"V13","V9","iter3","present",52
"T","V9","iter3","present",0
"V1","V10","iter3","present",114
"V2","V10","iter3","present",113
"V3","V10","iter3","present",110
"V4","V10","iter3","present",95
"V5","V10","iter3","present",115
"V6","V10","iter3","present",88
"V7","V10","iter3","present",140
"V8","V10","iter3","present",90
"V9","V10","iter3","present",67
"V10","V10","iter3","present",128
"V11","V10","iter3","present",78
"V12","V10","iter3","present",83
"V13","V10","iter3","present",80
"T","V10","iter3","present",0
"V1","V11","iter3","present",99
"V2","V11","iter3","present",99
"V3","V11","iter3","present",88
"V4","V11","iter3","present",65
"V5","V11","iter3","present",106
"V6","V11","iter3","present",77
"V7","V11","iter3","present",123
"V8","V11","iter3","present",73
"V9","V11","iter3","present",72
"V10","V11","iter3","present",98
"V11","V11","iter3","present",88
"V12","V11","iter3","present",86
"V13","V11","iter3","present",53
"T","V11","iter3","present",0
"V1","V12","iter3","present",96
"V2","V12","iter3","present",110
"V3","V12","iter3","present",89
"V4","V12","iter3","present",90
"V5","V12","iter3","present",84
"V6","V12","iter3","present",70
"V7","V12","iter3","present",142
"V8","V12","iter3","present",58
"V9","V12","iter3","present",81
"V10","V12","iter3","present",87
"V11","V12","iter3","present",71
"V12","V12","iter3","present",95
"V13","V12","iter3","present",71
"T","V12","iter3","present",0
"V1","V13","iter3","present",80
"V2","V13","iter3","present",96
"V3","V13","iter3","present",81
"V4","V13","iter3","present",59
"V5","V13","iter3","present",104
"V6","V13","iter3","present",62
"V7","V13","iter3","present",102
"V8","V13","iter3","present",56
"V9","V13","iter3","present",64
"V10","V13","iter3","present",99
"V11","V13","iter3","present",68
"V12","V13","iter3","present",73
"V13","V13","iter3","present",63
"T","V13","iter3","present",0
"V1","T","iter3","present",1337
"V2","T","iter3","present",1174
"V3","T","iter3","present",1161
"V4","T","iter3","present",1142
"V5","T","iter3","present",1290
"V6","T","iter3","present",1097
"V7","T","iter3","present",1343
"V8","T","iter3","present",1142
"V9","T","iter3","present",1243
"V10","T","iter3","present",1346
"V11","T","iter3","present",1340
"V12","T","iter3","present",1282
"V13","T","iter3","present",1229
"T","T","iter3","present",0
"V1","V1","iter4","present",70
"V2","V1","iter4","present",71
"V3","V1","iter4","present",94
"V4","V1","iter4","present",79
"V5","V1","iter4","present",77
"V6","V1","iter4","present",76
"V7","V1","iter4","present",75
"V8","V1","iter4","present",136
"V9","V1","iter4","present",52
"V10","V1","iter4","present",58
"V11","V1","iter4","present",62
"V12","V1","iter4","present",65
"V13","V1","iter4","present",75
"T","V1","iter4","present",0
"V1","V2","iter4","present",75
"V2","V2","iter4","present",97
"V3","V2","iter4","present",96
"V4","V2","iter4","present",102
"V5","V2","iter4","present",125
"V6","V2","iter4","present",61
"V7","V2","iter4","present",125
"V8","V2","iter4","present",144
"V9","V2","iter4","present",77
"V10","V2","iter4","present",88
"V11","V2","iter4","present",62
"V12","V2","iter4","present",75
"V13","V2","iter4","present",101
"T","V2","iter4","present",0
"V1","V3","iter4","present",113
"V2","V3","iter4","present",118
"V3","V3","iter4","present",138
"V4","V3","iter4","present",129
"V5","V3","iter4","present",127
"V6","V3","iter4","present",85
"V7","V3","iter4","present",96
"V8","V3","iter4","present",131
"V9","V3","iter4","present",95
"V10","V3","iter4","present",84
"V11","V3","iter4","present",78
"V12","V3","iter4","present",74
"V13","V3","iter4","present",105
"T","V3","iter4","present",0
"V1","V4","iter4","present",77
"V2","V4","iter4","present",136
"V3","V4","iter4","present",137
"V4","V4","iter4","present",115
"V5","V4","iter4","present",102
"V6","V4","iter4","present",64
"V7","V4","iter4","present",103
"V8","V4","iter4","present",142
"V9","V4","iter4","present",69
"V10","V4","iter4","present",82
"V11","V4","iter4","present",65
"V12","V4","iter4","present",51
"V13","V4","iter4","present",108
"T","V4","iter4","present",0
"V1","V5","iter4","present",92
"V2","V5","iter4","present",105
"V3","V5","iter4","present",89
"V4","V5","iter4","present",103
"V5","V5","iter4","present",105
"V6","V5","iter4","present",46
"V7","V5","iter4","present",96
"V8","V5","iter4","present",164
"V9","V5","iter4","present",61
"V10","V5","iter4","present",67
"V11","V5","iter4","present",66
"V12","V5","iter4","present",69
"V13","V5","iter4","present",77
"T","V5","iter4","present",0
"V1","V6","iter4","present",65
"V2","V6","iter4","present",77
"V3","V6","iter4","present",76
"V4","V6","iter4","present",98
"V5","V6","iter4","present",70
"V6","V6","iter4","present",53
"V7","V6","iter4","present",88
"V8","V6","iter4","present",108
"V9","V6","iter4","present",54
"V10","V6","iter4","present",44
"V11","V6","iter4","present",46
"V12","V6","iter4","present",45
"V13","V6","iter4","present",80
"T","V6","iter4","present",0
"V1","V7","iter4","present",99
"V2","V7","iter4","present",120
"V3","V7","iter4","present",111
"V4","V7","iter4","present",130
"V5","V7","iter4","present",103
"V6","V7","iter4","present",87
"V7","V7","iter4","present",152
"V8","V7","iter4","present",106
"V9","V7","iter4","present",75
"V10","V7","iter4","present",53
"V11","V7","iter4","present",72
"V12","V7","iter4","present",59
"V13","V7","iter4","present",98
"T","V7","iter4","present",0
"V1","V8","iter4","present",92
"V2","V8","iter4","present",128
"V3","V8","iter4","present",145
"V4","V8","iter4","present",148
"V5","V8","iter4","present",114
"V6","V8","iter4","present",77
"V7","V8","iter4","present",108
"V8","V8","iter4","present",120
"V9","V8","iter4","present",73
"V10","V8","iter4","present",73
"V11","V8","iter4","present",82
"V12","V8","iter4","present",77
"V13","V8","iter4","present",114
"T","V8","iter4","present",0
"V1","V9","iter4","present",63
"V2","V9","iter4","present",92
"V3","V9","iter4","present",108
"V4","V9","iter4","present",127
"V5","V9","iter4","present",87
"V6","V9","iter4","present",60
"V7","V9","iter4","present",101
"V8","V9","iter4","present",99
"V9","V9","iter4","present",55
"V10","V9","iter4","present",77
"V11","V9","iter4","present",64
"V12","V9","iter4","present",54
"V13","V9","iter4","present",131
"T","V9","iter4","present",0
"V1","V10","iter4","present",73
"V2","V10","iter4","present",80
"V3","V10","iter4","present",113
"V4","V10","iter4","present",108
"V5","V10","iter4","present",83
"V6","V10","iter4","present",61
"V7","V10","iter4","present",85
"V8","V10","iter4","present",131
"V9","V10","iter4","present",77
"V10","V10","iter4","present",86
"V11","V10","iter4","present",74
"V12","V10","iter4","present",58
"V13","V10","iter4","present",123
"T","V10","iter4","present",0
"V1","V11","iter4","present",79
"V2","V11","iter4","present",84
"V3","V11","iter4","present",105
"V4","V11","iter4","present",105
"V5","V11","iter4","present",80
"V6","V11","iter4","present",42
"V7","V11","iter4","present",81
"V8","V11","iter4","present",91
"V9","V11","iter4","present",82
"V10","V11","iter4","present",77
"V11","V11","iter4","present",79
"V12","V11","iter4","present",64
"V13","V11","iter4","present",106
"T","V11","iter4","present",0
"V1","V12","iter4","present",64
"V2","V12","iter4","present",95
"V3","V12","iter4","present",81
"V4","V12","iter4","present",80
"V5","V12","iter4","present",58
"V6","V12","iter4","present",42
"V7","V12","iter4","present",92
"V8","V12","iter4","present",106
"V9","V12","iter4","present",90
"V10","V12","iter4","present",62
"V11","V12","iter4","present",75
"V12","V12","iter4","present",69
"V13","V12","iter4","present",68
"T","V12","iter4","present",0
"V1","V13","iter4","present",97
"V2","V13","iter4","present",93
"V3","V13","iter4","present",167
"V4","V13","iter4","present",115
"V5","V13","iter4","present",117
"V6","V13","iter4","present",68
"V7","V13","iter4","present",103
"V8","V13","iter4","present",116
"V9","V13","iter4","present",96
"V10","V13","iter4","present",90
"V11","V13","iter4","present",83
"V12","V13","iter4","present",70
"V13","V13","iter4","present",127
"T","V13","iter4","present",0
"V1","T","iter4","present",1031
"V2","T","iter4","present",1258
"V3","T","iter4","present",1394
"V4","T","iter4","present",1259
"V5","T","iter4","present",1168
"V6","T","iter4","present",1032
"V7","T","iter4","present",1279
"V8","T","iter4","present",1352
"V9","T","iter4","present",1280
"V10","T","iter4","present",1363
"V11","T","iter4","present",1244
"V12","T","iter4","present",1138
"V13","T","iter4","present",1373
"T","T","iter4","present",0
"V1","V1","iter5","present",144
"V2","V1","iter5","present",144
"V3","V1","iter5","present",96
"V4","V1","iter5","present",109
"V5","V1","iter5","present",94
"V6","V1","iter5","present",129
"V7","V1","iter5","present",105
"V8","V1","iter5","present",122
"V9","V1","iter5","present",66
"V10","V1","iter5","present",44
"V11","V1","iter5","present",70
"V12","V1","iter5","present",55
"V13","V1","iter5","present",152
"T","V1","iter5","present",0
"V1","V2","iter5","present",126
"V2","V2","iter5","present",133
"V3","V2","iter5","present",105
"V4","V2","iter5","present",107
"V5","V2","iter5","present",81
"V6","V2","iter5","present",135
"V7","V2","iter5","present",100
"V8","V2","iter5","present",145
"V9","V2","iter5","present",88
"V10","V2","iter5","present",49
"V11","V2","iter5","present",81
"V12","V2","iter5","present",77
"V13","V2","iter5","present",178
"T","V2","iter5","present",0
"V1","V3","iter5","present",91
"V2","V3","iter5","present",156
"V3","V3","iter5","present",70
"V4","V3","iter5","present",91
"V5","V3","iter5","present",62
"V6","V3","iter5","present",63
"V7","V3","iter5","present",82
"V8","V3","iter5","present",114
"V9","V3","iter5","present",63
"V10","V3","iter5","present",54
"V11","V3","iter5","present",54
"V12","V3","iter5","present",49
"V13","V3","iter5","present",142
"T","V3","iter5","present",0
"V1","V4","iter5","present",107
"V2","V4","iter5","present",120
"V3","V4","iter5","present",67
"V4","V4","iter5","present",98
"V5","V4","iter5","present",78
"V6","V4","iter5","present",127
"V7","V4","iter5","present",91
"V8","V4","iter5","present",84
"V9","V4","iter5","present",85
"V10","V4","iter5","present",60
"V11","V4","iter5","present",67
"V12","V4","iter5","present",61
"V13","V4","iter5","present",143
"T","V4","iter5","present",0
"V1","V5","iter5","present",115
"V2","V5","iter5","present",137
"V3","V5","iter5","present",60
"V4","V5","iter5","present",78
"V5","V5","iter5","present",92
"V6","V5","iter5","present",69
"V7","V5","iter5","present",66
"V8","V5","iter5","present",81
"V9","V5","iter5","present",67
"V10","V5","iter5","present",47
"V11","V5","iter5","present",46
"V12","V5","iter5","present",56
"V13","V5","iter5","present",139
"T","V5","iter5","present",0
"V1","V6","iter5","present",96
"V2","V6","iter5","present",180
"V3","V6","iter5","present",102
"V4","V6","iter5","present",96
"V5","V6","iter5","present",62
"V6","V6","iter5","present",96
"V7","V6","iter5","present",87
"V8","V6","iter5","present",103
"V9","V6","iter5","present",70
"V10","V6","iter5","present",33
"V11","V6","iter5","present",62
"V12","V6","iter5","present",63
"V13","V6","iter5","present",135
"T","V6","iter5","present",0
"V1","V7","iter5","present",83
"V2","V7","iter5","present",131
"V3","V7","iter5","present",84
"V4","V7","iter5","present",74
"V5","V7","iter5","present",74
"V6","V7","iter5","present",106
"V7","V7","iter5","present",82
"V8","V7","iter5","present",54
"V9","V7","iter5","present",50
"V10","V7","iter5","present",34
"V11","V7","iter5","present",70
"V12","V7","iter5","present",50
"V13","V7","iter5","present",108
"T","V7","iter5","present",0
"V1","V8","iter5","present",104
"V2","V8","iter5","present",169
"V3","V8","iter5","present",89
"V4","V8","iter5","present",88
"V5","V8","iter5","present",66
"V6","V8","iter5","present",97
"V7","V8","iter5","present",58
"V8","V8","iter5","present",77
"V9","V8","iter5","present",75
"V10","V8","iter5","present",56
"V11","V8","iter5","present",59
"V12","V8","iter5","present",62
"V13","V8","iter5","present",136
"T","V8","iter5","present",0
"V1","V9","iter5","present",104
"V2","V9","iter5","present",109
"V3","V9","iter5","present",93
"V4","V9","iter5","present",96
"V5","V9","iter5","present",54
"V6","V9","iter5","present",96
"V7","V9","iter5","present",74
"V8","V9","iter5","present",82
"V9","V9","iter5","present",84
"V10","V9","iter5","present",46
"V11","V9","iter5","present",69
"V12","V9","iter5","present",67
"V13","V9","iter5","present",160
"T","V9","iter5","present",0
"V1","V10","iter5","present",74
"V2","V10","iter5","present",97
"V3","V10","iter5","present",52
"V4","V10","iter5","present",60
"V5","V10","iter5","present",76
"V6","V10","iter5","present",94
"V7","V10","iter5","present",59
"V8","V10","iter5","present",62
"V9","V10","iter5","present",60
"V10","V10","iter5","present",38
"V11","V10","iter5","present",39
"V12","V10","iter5","present",51
"V13","V10","iter5","present",129
"T","V10","iter5","present",0
"V1","V11","iter5","present",85
"V2","V11","iter5","present",97
"V3","V11","iter5","present",72
"V4","V11","iter5","present",87
"V5","V11","iter5","present",81
"V6","V11","iter5","present",111
"V7","V11","iter5","present",63
"V8","V11","iter5","present",69
"V9","V11","iter5","present",79
"V10","V11","iter5","present",60
"V11","V11","iter5","present",68
