selected_features,iteration,metric,relevant,value
11,iter13,silhouette,3 relevant,0.105116759556283
12,iter13,silhouette,3 relevant,0.105756204368453
2,iter14,silhouette,3 relevant,0.0584592425500806
3,iter14,silhouette,3 relevant,0.118336159750162
4,iter14,silhouette,3 relevant,0.117832348900384
5,iter14,silhouette,3 relevant,0.113604325358133
6,iter14,silhouette,3 relevant,0.110853215301696
7,iter14,silhouette,3 relevant,0.114206461586425
8,iter14,silhouette,3 relevant,0.110978866418763
9,iter14,silhouette,3 relevant,0.1098911329444
10,iter14,silhouette,3 relevant,0.108354183040682
11,iter14,silhouette,3 relevant,0.105238038345346
12,iter14,silhouette,3 relevant,0.104987358069562
2,iter15,silhouette,3 relevant,0.0625526378068001
3,iter15,silhouette,3 relevant,0.123184167355842
4,iter15,silhouette,3 relevant,0.119986317458271
5,iter15,silhouette,3 relevant,0.116363681687163
6,iter15,silhouette,3 relevant,0.112486092495117
7,iter15,silhouette,3 relevant,0.116864889110064
8,iter15,silhouette,3 relevant,0.114153866580673
9,iter15,silhouette,3 relevant,0.112659029400041
10,iter15,silhouette,3 relevant,0.110896187362053
11,iter15,silhouette,3 relevant,0.107916693780488
12,iter15,silhouette,3 relevant,0.10452682529843
2,iter16,silhouette,3 relevant,0.063904795085876
3,iter16,silhouette,3 relevant,0.120142448877894
4,iter16,silhouette,3 relevant,0.116625438214531
5,iter16,silhouette,3 relevant,0.114380330108657
6,iter16,silhouette,3 relevant,0.110598517509455
7,iter16,silhouette,3 relevant,0.115636206484042
8,iter16,silhouette,3 relevant,0.114086370190897
9,iter16,silhouette,3 relevant,0.111234505628104
10,iter16,silhouette,3 relevant,0.110807110003182
11,iter16,silhouette,3 relevant,0.107298638984042
12,iter16,silhouette,3 relevant,0.102898878790085
2,iter17,silhouette,3 relevant,0.0645183576173549
3,iter17,silhouette,3 relevant,0.126275693604482
4,iter17,silhouette,3 relevant,0.122669672614059
5,iter17,silhouette,3 relevant,0.120098779846588
6,iter17,silhouette,3 relevant,0.113744919683153
7,iter17,silhouette,3 relevant,0.119071701078812
8,iter17,silhouette,3 relevant,0.117781443537625
9,iter17,silhouette,3 relevant,0.114448790386914
10,iter17,silhouette,3 relevant,0.112674075699332
11,iter17,silhouette,3 relevant,0.109487380009529
12,iter17,silhouette,3 relevant,0.105580215011287
2,iter18,silhouette,3 relevant,0.0583140937901494
3,iter18,silhouette,3 relevant,0.121878100635733
4,iter18,silhouette,3 relevant,0.120291007110293
5,iter18,silhouette,3 relevant,0.116712355444351
6,iter18,silhouette,3 relevant,0.11316682107363
7,iter18,silhouette,3 relevant,0.116739912180938
8,iter18,silhouette,3 relevant,0.115163660166117
9,iter18,silhouette,3 relevant,0.113106189992502
10,iter18,silhouette,3 relevant,0.110946644646477
11,iter18,silhouette,3 relevant,0.107142347704733
12,iter18,silhouette,3 relevant,0.104425794027675
2,iter19,silhouette,3 relevant,0.0610727211249363
3,iter19,silhouette,3 relevant,0.120241689913312
4,iter19,silhouette,3 relevant,0.117021710863899
5,iter19,silhouette,3 relevant,0.115938402691215
6,iter19,silhouette,3 relevant,0.110162486063903
7,iter19,silhouette,3 relevant,0.115511024624925
8,iter19,silhouette,3 relevant,0.112611842422093
9,iter19,silhouette,3 relevant,0.110027608250165
10,iter19,silhouette,3 relevant,0.107072748516595
11,iter19,silhouette,3 relevant,0.105759647674946
12,iter19,silhouette,3 relevant,0.10290425547756
2,iter20,silhouette,3 relevant,0.0613911196981841
3,iter20,silhouette,3 relevant,0.118393078622426
4,iter20,silhouette,3 relevant,0.116421314415679
5,iter20,silhouette,3 relevant,0.114291015856594
6,iter20,silhouette,3 relevant,0.293161480789901
7,iter20,silhouette,3 relevant,0.114387361221818
8,iter20,silhouette,3 relevant,0.111972196598367
9,iter20,silhouette,3 relevant,0.10933176484069
10,iter20,silhouette,3 relevant,0.106173278373417
11,iter20,silhouette,3 relevant,0.104727231730195
12,iter20,silhouette,3 relevant,0.102694535028648
2,iter21,silhouette,3 relevant,0.0589344801618697
3,iter21,silhouette,3 relevant,0.12124797205552
4,iter21,silhouette,3 relevant,0.119014417157219
5,iter21,silhouette,3 relevant,0.117306376640752
6,iter21,silhouette,3 relevant,0.113270966173148
7,iter21,silhouette,3 relevant,0.116752768087393
8,iter21,silhouette,3 relevant,0.11458065953799
9,iter21,silhouette,3 relevant,0.113218734280924
10,iter21,silhouette,3 relevant,0.110202580242621
11,iter21,silhouette,3 relevant,0.108272169669645
12,iter21,silhouette,3 relevant,0.10621233761296
2,iter22,silhouette,3 relevant,0.0603872439186795
3,iter22,silhouette,3 relevant,0.118054639387936
4,iter22,silhouette,3 relevant,0.115772063781949
5,iter22,silhouette,3 relevant,0.111970185297029
6,iter22,silhouette,3 relevant,0.108585164172322
7,iter22,silhouette,3 relevant,0.113143429900387
8,iter22,silhouette,3 relevant,0.109050996256514
9,iter22,silhouette,3 relevant,0.107440123035061
10,iter22,silhouette,3 relevant,0.103756650271592
11,iter22,silhouette,3 relevant,0.103587422247156
12,iter22,silhouette,3 relevant,0.0993225310104171
2,iter23,silhouette,3 relevant,0.0655531149324353
3,iter23,silhouette,3 relevant,0.122419422111607
4,iter23,silhouette,3 relevant,0.120856432547178
5,iter23,silhouette,3 relevant,0.117970074864868
6,iter23,silhouette,3 relevant,0.113458668700526
7,iter23,silhouette,3 relevant,0.118383408846871
8,iter23,silhouette,3 relevant,0.116112203058061
9,iter23,silhouette,3 relevant,0.113328422230893
10,iter23,silhouette,3 relevant,0.111243029147706
11,iter23,silhouette,3 relevant,0.107779560186007
12,iter23,silhouette,3 relevant,0.106689226635474
2,iter24,silhouette,3 relevant,0.0652458135640703
3,iter24,silhouette,3 relevant,0.122934454859233
4,iter24,silhouette,3 relevant,0.120670101305424
5,iter24,silhouette,3 relevant,0.116928888531154
6,iter24,silhouette,3 relevant,0.11335663349429
7,iter24,silhouette,3 relevant,0.118219939837684
8,iter24,silhouette,3 relevant,0.116278385763199
9,iter24,silhouette,3 relevant,0.112340744805738
10,iter24,silhouette,3 relevant,0.111110739523497
11,iter24,silhouette,3 relevant,0.109462265254963
12,iter24,silhouette,3 relevant,0.106633625290187
2,iter25,silhouette,3 relevant,0.0602670498094657
3,iter25,silhouette,3 relevant,0.120832361514533
4,iter25,silhouette,3 relevant,0.118100511916969
5,iter25,silhouette,3 relevant,0.114337828189784
6,iter25,silhouette,3 relevant,0.111009036264425
7,iter25,silhouette,3 relevant,0.114614541519032
8,iter25,silhouette,3 relevant,0.112567975932602
9,iter25,silhouette,3 relevant,0.1101347155535
10,iter25,silhouette,3 relevant,0.108373404897138
11,iter25,silhouette,3 relevant,0.107594381420323
12,iter25,silhouette,3 relevant,0.103340920771511
2,iter26,silhouette,3 relevant,0.0610075748340062
3,iter26,silhouette,3 relevant,0.120928033511915
4,iter26,silhouette,3 relevant,0.118740501146187
5,iter26,silhouette,3 relevant,0.116435010749412
6,iter26,silhouette,3 relevant,0.111733476548928
7,iter26,silhouette,3 relevant,0.116685675645369
8,iter26,silhouette,3 relevant,0.114191212224076
9,iter26,silhouette,3 relevant,0.112544022244584
10,iter26,silhouette,3 relevant,0.109341278828826
11,iter26,silhouette,3 relevant,0.106123141064986
12,iter26,silhouette,3 relevant,0.103920986808606
2,iter27,silhouette,3 relevant,0.0610258828475695
3,iter27,silhouette,3 relevant,0.124576875185054
4,iter27,silhouette,3 relevant,0.122601687076429
5,iter27,silhouette,3 relevant,0.118609777152866
6,iter27,silhouette,3 relevant,0.115532534381446
7,iter27,silhouette,3 relevant,0.119760186788018
8,iter27,silhouette,3 relevant,0.118447465752889
9,iter27,silhouette,3 relevant,0.114177769745929
10,iter27,silhouette,3 relevant,0.112475099259279
11,iter27,silhouette,3 relevant,0.107871960443639
12,iter27,silhouette,3 relevant,0.107171531057637
2,iter28,silhouette,3 relevant,0.0639533699718418
3,iter28,silhouette,3 relevant,0.121133812050528
4,iter28,silhouette,3 relevant,0.119441616996286
5,iter28,silhouette,3 relevant,0.115156879507803
6,iter28,silhouette,3 relevant,0.111698790599395
7,iter28,silhouette,3 relevant,0.11607941756498
8,iter28,silhouette,3 relevant,0.113656537597999
9,iter28,silhouette,3 relevant,0.109583762989574
10,iter28,silhouette,3 relevant,0.107424389355185
11,iter28,silhouette,3 relevant,0.105791745078694
12,iter28,silhouette,3 relevant,0.103312215274279
2,iter29,silhouette,3 relevant,0.0639211276741199
3,iter29,silhouette,3 relevant,0.119271675299416
4,iter29,silhouette,3 relevant,0.11641894368506
5,iter29,silhouette,3 relevant,0.113647595064813
6,iter29,silhouette,3 relevant,0.110481621890254
7,iter29,silhouette,3 relevant,0.114324891052788
8,iter29,silhouette,3 relevant,0.111557715225892
9,iter29,silhouette,3 relevant,0.109346642466487
10,iter29,silhouette,3 relevant,0.108586391083529
11,iter29,silhouette,3 relevant,0.106418690368793
12,iter29,silhouette,3 relevant,0.104620995041864
2,iter30,silhouette,3 relevant,0.0612272903462101
3,iter30,silhouette,3 relevant,0.119891090179905
4,iter30,silhouette,3 relevant,0.118535498957723
5,iter30,silhouette,3 relevant,0.115040069603568
6,iter30,silhouette,3 relevant,0.110577048296052
7,iter30,silhouette,3 relevant,0.115033668162141
8,iter30,silhouette,3 relevant,0.113746190380392
9,iter30,silhouette,3 relevant,0.110447425521602
10,iter30,silhouette,3 relevant,0.107475896566568
11,iter30,silhouette,3 relevant,0.105587959596412
12,iter30,silhouette,3 relevant,0.102673386399524
2,iter1,separability index,3 relevant,0.74
3,iter1,separability index,3 relevant,0.985
4,iter1,separability index,3 relevant,0.985
5,iter1,separability index,3 relevant,0.98
6,iter1,separability index,3 relevant,0.96
7,iter1,separability index,3 relevant,0.97
8,iter1,separability index,3 relevant,0.96
9,iter1,separability index,3 relevant,0.96
10,iter1,separability index,3 relevant,0.965
11,iter1,separability index,3 relevant,0.955
12,iter1,separability index,3 relevant,0.97
2,iter2,separability index,3 relevant,0.74
3,iter2,separability index,3 relevant,0.99
4,iter2,separability index,3 relevant,0.99
5,iter2,separability index,3 relevant,0.995
6,iter2,separability index,3 relevant,0.995
7,iter2,separability index,3 relevant,0.995
8,iter2,separability index,3 relevant,0.995
9,iter2,separability index,3 relevant,0.995
10,iter2,separability index,3 relevant,0.995
11,iter2,separability index,3 relevant,0.995
12,iter2,separability index,3 relevant,0.995
2,iter3,separability index,3 relevant,0.73
3,iter3,separability index,3 relevant,0.965
4,iter3,separability index,3 relevant,0.975
5,iter3,separability index,3 relevant,0.97
6,iter3,separability index,3 relevant,0.965
7,iter3,separability index,3 relevant,0.97
8,iter3,separability index,3 relevant,0.97
9,iter3,separability index,3 relevant,0.965
10,iter3,separability index,3 relevant,0.955
11,iter3,separability index,3 relevant,0.97
12,iter3,separability index,3 relevant,0.97
2,iter4,separability index,3 relevant,0.725
3,iter4,separability index,3 relevant,1
4,iter4,separability index,3 relevant,1
5,iter4,separability index,3 relevant,1
6,iter4,separability index,3 relevant,0.995
7,iter4,separability index,3 relevant,1
8,iter4,separability index,3 relevant,1
9,iter4,separability index,3 relevant,1
10,iter4,separability index,3 relevant,1
11,iter4,separability index,3 relevant,1
12,iter4,separability index,3 relevant,1
2,iter5,separability index,3 relevant,0.75
3,iter5,separability index,3 relevant,0.995
4,iter5,separability index,3 relevant,0.995
5,iter5,separability index,3 relevant,0.99
6,iter5,separability index,3 relevant,0.99
7,iter5,separability index,3 relevant,0.99
8,iter5,separability index,3 relevant,0.99
9,iter5,separability index,3 relevant,0.99
10,iter5,separability index,3 relevant,0.99
11,iter5,separability index,3 relevant,0.99
12,iter5,separability index,3 relevant,0.99
2,iter6,separability index,3 relevant,0.78
3,iter6,separability index,3 relevant,0.985
4,iter6,separability index,3 relevant,0.975
5,iter6,separability index,3 relevant,0.97
6,iter6,separability index,3 relevant,0.975
7,iter6,separability index,3 relevant,0.965
8,iter6,separability index,3 relevant,0.955
9,iter6,separability index,3 relevant,0.96
10,iter6,separability index,3 relevant,0.955
11,iter6,separability index,3 relevant,0.975
12,iter6,separability index,3 relevant,0.97
2,iter7,separability index,3 relevant,0.675
3,iter7,separability index,3 relevant,0.99
4,iter7,separability index,3 relevant,0.99
5,iter7,separability index,3 relevant,0.98
6,iter7,separability index,3 relevant,0.98
7,iter7,separability index,3 relevant,0.98
8,iter7,separability index,3 relevant,0.975
9,iter7,separability index,3 relevant,0.965
10,iter7,separability index,3 relevant,0.96
11,iter7,separability index,3 relevant,0.965
12,iter7,separability index,3 relevant,0.965
2,iter8,separability index,3 relevant,0.72
3,iter8,separability index,3 relevant,0.985
4,iter8,separability index,3 relevant,0.985
5,iter8,separability index,3 relevant,0.98
6,iter8,separability index,3 relevant,0.985
7,iter8,separability index,3 relevant,0.98
8,iter8,separability index,3 relevant,0.985
9,iter8,separability index,3 relevant,0.985
10,iter8,separability index,3 relevant,0.985
11,iter8,separability index,3 relevant,0.98
12,iter8,separability index,3 relevant,0.98
2,iter9,separability index,3 relevant,0.74
3,iter9,separability index,3 relevant,0.995
4,iter9,separability index,3 relevant,0.995
5,iter9,separability index,3 relevant,0.985
6,iter9,separability index,3 relevant,0.985
7,iter9,separability index,3 relevant,0.99
8,iter9,separability index,3 relevant,0.995
9,iter9,separability index,3 relevant,0.99
10,iter9,separability index,3 relevant,0.99
11,iter9,separability index,3 relevant,0.99
12,iter9,separability index,3 relevant,0.995
2,iter10,separability index,3 relevant,0.76
3,iter10,separability index,3 relevant,0.995
4,iter10,separability index,3 relevant,0.99
5,iter10,separability index,3 relevant,0.98
6,iter10,separability index,3 relevant,0.98
7,iter10,separability index,3 relevant,0.99
8,iter10,separability index,3 relevant,0.99
9,iter10,separability index,3 relevant,0.985
10,iter10,separability index,3 relevant,0.975
11,iter10,separability index,3 relevant,0.97
12,iter10,separability index,3 relevant,0.975
2,iter11,separability index,3 relevant,0.76
3,iter11,separability index,3 relevant,0.98
4,iter11,separability index,3 relevant,0.975
5,iter11,separability index,3 relevant,0.975
6,iter11,separability index,3 relevant,0.98
7,iter11,separability index,3 relevant,0.975
8,iter11,separability index,3 relevant,0.98
9,iter11,separability index,3 relevant,0.975
10,iter11,separability index,3 relevant,0.97
11,iter11,separability index,3 relevant,0.97
12,iter11,separability index,3 relevant,0.96
2,iter12,separability index,3 relevant,0.74
3,iter12,separability index,3 relevant,1
4,iter12,separability index,3 relevant,0.995
5,iter12,separability index,3 relevant,0.995
6,iter12,separability index,3 relevant,0.995
7,iter12,separability index,3 relevant,0.995
8,iter12,separability index,3 relevant,0.99
9,iter12,separability index,3 relevant,0.99
10,iter12,separability index,3 relevant,0.99
11,iter12,separability index,3 relevant,0.995
12,iter12,separability index,3 relevant,0.99
2,iter13,separability index,3 relevant,0.72
3,iter13,separability index,3 relevant,0.99
4,iter13,separability index,3 relevant,0.99
5,iter13,separability index,3 relevant,0.975
6,iter13,separability index,3 relevant,0.985
7,iter13,separability index,3 relevant,0.98
8,iter13,separability index,3 relevant,0.975
9,iter13,separability index,3 relevant,0.98
10,iter13,separability index,3 relevant,0.97
11,iter13,separability index,3 relevant,0.98
12,iter13,separability index,3 relevant,0.98
2,iter14,separability index,3 relevant,0.68
3,iter14,separability index,3 relevant,0.975
4,iter14,separability index,3 relevant,0.965
5,iter14,separability index,3 relevant,0.955
6,iter14,separability index,3 relevant,0.955
7,iter14,separability index,3 relevant,0.965
8,iter14,separability index,3 relevant,0.96
9,iter14,separability index,3 relevant,0.97
10,iter14,separability index,3 relevant,0.97
11,iter14,separability index,3 relevant,0.98
12,iter14,separability index,3 relevant,0.97
2,iter15,separability index,3 relevant,0.765
3,iter15,separability index,3 relevant,0.98
4,iter15,separability index,3 relevant,0.985
5,iter15,separability index,3 relevant,0.99
6,iter15,separability index,3 relevant,0.99
7,iter15,separability index,3 relevant,0.985
8,iter15,separability index,3 relevant,0.99
9,iter15,separability index,3 relevant,0.99
10,iter15,separability index,3 relevant,0.99
11,iter15,separability index,3 relevant,0.99
12,iter15,separability index,3 relevant,0.99
2,iter16,separability index,3 relevant,0.735
3,iter16,separability index,3 relevant,0.985
4,iter16,separability index,3 relevant,0.985
5,iter16,separability index,3 relevant,0.97
6,iter16,separability index,3 relevant,0.985
7,iter16,separability index,3 relevant,0.985
8,iter16,separability index,3 relevant,0.985
9,iter16,separability index,3 relevant,0.985
10,iter16,separability index,3 relevant,0.99
11,iter16,separability index,3 relevant,0.99
12,iter16,separability index,3 relevant,0.98
2,iter17,separability index,3 relevant,0.75
3,iter17,separability index,3 relevant,0.995
4,iter17,separability index,3 relevant,0.995
5,iter17,separability index,3 relevant,0.995
6,iter17,separability index,3 relevant,0.995
7,iter17,separability index,3 relevant,0.99
8,iter17,separability index,3 relevant,0.995
9,iter17,separability index,3 relevant,0.995
10,iter17,separability index,3 relevant,0.995
11,iter17,separability index,3 relevant,0.995
12,iter17,separability index,3 relevant,0.995
2,iter18,separability index,3 relevant,0.675
3,iter18,separability index,3 relevant,0.99
4,iter18,separability index,3 relevant,0.99
5,iter18,separability index,3 relevant,0.99
6,iter18,separability index,3 relevant,0.99
7,iter18,separability index,3 relevant,0.985
8,iter18,separability index,3 relevant,0.99
9,iter18,separability index,3 relevant,0.99
10,iter18,separability index,3 relevant,0.975
11,iter18,separability index,3 relevant,0.985
12,iter18,separability index,3 relevant,0.985
2,iter19,separability index,3 relevant,0.795
3,iter19,separability index,3 relevant,0.98
4,iter19,separability index,3 relevant,0.975
5,iter19,separability index,3 relevant,0.98
6,iter19,separability index,3 relevant,0.985
7,iter19,separability index,3 relevant,0.98
8,iter19,separability index,3 relevant,0.985
9,iter19,separability index,3 relevant,0.985
10,iter19,separability index,3 relevant,0.975
11,iter19,separability index,3 relevant,0.975
12,iter19,separability index,3 relevant,0.97
2,iter20,separability index,3 relevant,0.79
3,iter20,separability index,3 relevant,0.985
4,iter20,separability index,3 relevant,0.99
5,iter20,separability index,3 relevant,0.99
6,iter20,separability index,3 relevant,0.975
7,iter20,separability index,3 relevant,0.97
8,iter20,separability index,3 relevant,0.975
9,iter20,separability index,3 relevant,0.975
10,iter20,separability index,3 relevant,0.96
11,iter20,separability index,3 relevant,0.965
12,iter20,separability index,3 relevant,0.975
2,iter21,separability index,3 relevant,0.735
3,iter21,separability index,3 relevant,0.975
4,iter21,separability index,3 relevant,0.99
5,iter21,separability index,3 relevant,0.99
6,iter21,separability index,3 relevant,0.985
7,iter21,separability index,3 relevant,0.985
8,iter21,separability index,3 relevant,0.995
9,iter21,separability index,3 relevant,0.98
10,iter21,separability index,3 relevant,0.99
11,iter21,separability index,3 relevant,0.985
12,iter21,separability index,3 relevant,0.985
2,iter22,separability index,3 relevant,0.785
3,iter22,separability index,3 relevant,0.975
4,iter22,separability index,3 relevant,0.975
5,iter22,separability index,3 relevant,0.975
6,iter22,separability index,3 relevant,0.975
7,iter22,separability index,3 relevant,0.975
8,iter22,separability index,3 relevant,0.97
9,iter22,separability index,3 relevant,0.97
10,iter22,separability index,3 relevant,0.97
11,iter22,separability index,3 relevant,0.97
12,iter22,separability index,3 relevant,0.97
2,iter23,separability index,3 relevant,0.76
3,iter23,separability index,3 relevant,1
4,iter23,separability index,3 relevant,1
5,iter23,separability index,3 relevant,1
6,iter23,separability index,3 relevant,1
7,iter23,separability index,3 relevant,1
8,iter23,separability index,3 relevant,1
9,iter23,separability index,3 relevant,1
10,iter23,separability index,3 relevant,1
11,iter23,separability index,3 relevant,1
12,iter23,separability index,3 relevant,1
2,iter24,separability index,3 relevant,0.725
3,iter24,separability index,3 relevant,0.995
4,iter24,separability index,3 relevant,0.99
5,iter24,separability index,3 relevant,0.985
6,iter24,separability index,3 relevant,0.985
7,iter24,separability index,3 relevant,0.985
8,iter24,separability index,3 relevant,0.985
9,iter24,separability index,3 relevant,0.99
10,iter24,separability index,3 relevant,0.99
11,iter24,separability index,3 relevant,0.985
12,iter24,separability index,3 relevant,0.985
2,iter25,separability index,3 relevant,0.725
3,iter25,separability index,3 relevant,0.975
4,iter25,separability index,3 relevant,0.975
5,iter25,separability index,3 relevant,0.975
6,iter25,separability index,3 relevant,0.97
7,iter25,separability index,3 relevant,0.975
8,iter25,separability index,3 relevant,0.975
9,iter25,separability index,3 relevant,0.97
10,iter25,separability index,3 relevant,0.975
11,iter25,separability index,3 relevant,0.97
12,iter25,separability index,3 relevant,0.97
2,iter26,separability index,3 relevant,0.75
3,iter26,separability index,3 relevant,0.99
4,iter26,separability index,3 relevant,0.995
5,iter26,separability index,3 relevant,0.995
6,iter26,separability index,3 relevant,0.99
7,iter26,separability index,3 relevant,0.99
8,iter26,separability index,3 relevant,0.995
9,iter26,separability index,3 relevant,0.995
10,iter26,separability index,3 relevant,0.98
11,iter26,separability index,3 relevant,0.985
12,iter26,separability index,3 relevant,0.985
