selected_features,iteration,metric,relevant,value
11,iter9,silhouette,3 relevant,0.108299845822186
12,iter9,silhouette,3 relevant,0.106348789346732
2,iter10,silhouette,3 relevant,0.0618557895551755
3,iter10,silhouette,3 relevant,0.11925635802934
4,iter10,silhouette,3 relevant,0.117564638795223
5,iter10,silhouette,3 relevant,0.114088991315191
6,iter10,silhouette,3 relevant,0.109614409623809
7,iter10,silhouette,3 relevant,0.114362391192802
8,iter10,silhouette,3 relevant,0.111969049323385
9,iter10,silhouette,3 relevant,0.109681996827717
10,iter10,silhouette,3 relevant,0.106630244482306
11,iter10,silhouette,3 relevant,0.103813981432658
12,iter10,silhouette,3 relevant,0.103432996569367
2,iter11,silhouette,3 relevant,0.0649042572917389
3,iter11,silhouette,3 relevant,0.121946549688983
4,iter11,silhouette,3 relevant,0.120121266964279
5,iter11,silhouette,3 relevant,0.117311784296497
6,iter11,silhouette,3 relevant,0.114706769050086
7,iter11,silhouette,3 relevant,0.116618050633017
8,iter11,silhouette,3 relevant,0.113488118742243
9,iter11,silhouette,3 relevant,0.112781088108339
10,iter11,silhouette,3 relevant,0.109832105936707
11,iter11,silhouette,3 relevant,0.107817924184823
12,iter11,silhouette,3 relevant,0.113413200915921
2,iter12,silhouette,3 relevant,0.0611921290057285
3,iter12,silhouette,3 relevant,0.12238544044973
4,iter12,silhouette,3 relevant,0.118943451326116
5,iter12,silhouette,3 relevant,0.115643918737239
6,iter12,silhouette,3 relevant,0.113267517049296
7,iter12,silhouette,3 relevant,0.116014423012233
8,iter12,silhouette,3 relevant,0.114431538486991
9,iter12,silhouette,3 relevant,0.110924496160768
10,iter12,silhouette,3 relevant,0.109292837393201
11,iter12,silhouette,3 relevant,0.106580286320567
12,iter12,silhouette,3 relevant,0.102984922759196
2,iter13,silhouette,3 relevant,0.0589741278250712
3,iter13,silhouette,3 relevant,0.12089714213193
4,iter13,silhouette,3 relevant,0.118484432385185
5,iter13,silhouette,3 relevant,0.115370919219141
6,iter13,silhouette,3 relevant,0.112223921754413
7,iter13,silhouette,3 relevant,0.116480885747879
8,iter13,silhouette,3 relevant,0.114145968064084
9,iter13,silhouette,3 relevant,0.112681877214971
10,iter13,silhouette,3 relevant,0.108586867474753
11,iter13,silhouette,3 relevant,0.105960347083124
12,iter13,silhouette,3 relevant,0.103577955805362
2,iter14,silhouette,3 relevant,0.0592415139878373
3,iter14,silhouette,3 relevant,0.118180172223663
4,iter14,silhouette,3 relevant,0.116878924401932
5,iter14,silhouette,3 relevant,0.113642545236726
6,iter14,silhouette,3 relevant,0.110660923603544
7,iter14,silhouette,3 relevant,0.113639055776071
8,iter14,silhouette,3 relevant,0.112030226122745
9,iter14,silhouette,3 relevant,0.110330430737933
10,iter14,silhouette,3 relevant,0.107255422633701
11,iter14,silhouette,3 relevant,0.105088989408443
12,iter14,silhouette,3 relevant,0.103952235296524
2,iter15,silhouette,3 relevant,0.0626775813250741
3,iter15,silhouette,3 relevant,0.122416019132327
4,iter15,silhouette,3 relevant,0.119302690649588
5,iter15,silhouette,3 relevant,0.11586131369618
6,iter15,silhouette,3 relevant,0.111451123453547
7,iter15,silhouette,3 relevant,0.116211495772722
8,iter15,silhouette,3 relevant,0.113631178059189
9,iter15,silhouette,3 relevant,0.111374694472554
10,iter15,silhouette,3 relevant,0.108549362437105
11,iter15,silhouette,3 relevant,0.108584596883599
12,iter15,silhouette,3 relevant,0.103747045049966
2,iter16,silhouette,3 relevant,0.0646621778637886
3,iter16,silhouette,3 relevant,0.119984733736101
4,iter16,silhouette,3 relevant,0.117909322225661
5,iter16,silhouette,3 relevant,0.114430629942235
6,iter16,silhouette,3 relevant,0.110745080765999
7,iter16,silhouette,3 relevant,0.114862890165579
8,iter16,silhouette,3 relevant,0.114211052360679
9,iter16,silhouette,3 relevant,0.112635149816102
10,iter16,silhouette,3 relevant,0.109174270402504
11,iter16,silhouette,3 relevant,0.106456163377787
12,iter16,silhouette,3 relevant,0.105097711155537
2,iter17,silhouette,3 relevant,0.0642283491064779
3,iter17,silhouette,3 relevant,0.125510199185381
4,iter17,silhouette,3 relevant,0.123028860387456
5,iter17,silhouette,3 relevant,0.119954312489648
6,iter17,silhouette,3 relevant,0.112581028796016
7,iter17,silhouette,3 relevant,0.119196533372697
8,iter17,silhouette,3 relevant,0.117539483638336
9,iter17,silhouette,3 relevant,0.114808794783326
10,iter17,silhouette,3 relevant,0.110775829848202
11,iter17,silhouette,3 relevant,0.108126837324338
12,iter17,silhouette,3 relevant,0.106251554605517
2,iter18,silhouette,3 relevant,0.0591956405766487
3,iter18,silhouette,3 relevant,0.121016235107555
4,iter18,silhouette,3 relevant,0.119134769114071
5,iter18,silhouette,3 relevant,0.117191750747349
6,iter18,silhouette,3 relevant,0.112686845878993
7,iter18,silhouette,3 relevant,0.116951154908353
8,iter18,silhouette,3 relevant,0.11466283282531
9,iter18,silhouette,3 relevant,0.112445624706471
10,iter18,silhouette,3 relevant,0.1104701454936
11,iter18,silhouette,3 relevant,0.108037605817208
12,iter18,silhouette,3 relevant,0.105706713406409
2,iter19,silhouette,3 relevant,0.0616201984497417
3,iter19,silhouette,3 relevant,0.120821413680553
4,iter19,silhouette,3 relevant,0.117505535555367
5,iter19,silhouette,3 relevant,0.114517067946941
6,iter19,silhouette,3 relevant,0.109301037571156
7,iter19,silhouette,3 relevant,0.114471593416233
8,iter19,silhouette,3 relevant,0.111836374469362
9,iter19,silhouette,3 relevant,0.110005945101587
10,iter19,silhouette,3 relevant,0.10681351026209
11,iter19,silhouette,3 relevant,0.104384259057224
12,iter19,silhouette,3 relevant,0.103127599436088
2,iter20,silhouette,3 relevant,0.061748721403586
3,iter20,silhouette,3 relevant,0.118942291560367
4,iter20,silhouette,3 relevant,0.117376481263531
5,iter20,silhouette,3 relevant,0.11304919389657
6,iter20,silhouette,3 relevant,0.109643592281369
7,iter20,silhouette,3 relevant,0.114631203531519
8,iter20,silhouette,3 relevant,0.111517609146093
9,iter20,silhouette,3 relevant,0.110290500068385
10,iter20,silhouette,3 relevant,0.10685222869556
11,iter20,silhouette,3 relevant,0.104942708430771
12,iter20,silhouette,3 relevant,0.102272287897849
2,iter21,silhouette,3 relevant,0.0582532171547758
3,iter21,silhouette,3 relevant,0.120849700581224
4,iter21,silhouette,3 relevant,0.119329804738762
5,iter21,silhouette,3 relevant,0.115785645474046
6,iter21,silhouette,3 relevant,0.111955082633133
7,iter21,silhouette,3 relevant,0.116667118077676
8,iter21,silhouette,3 relevant,0.115244910682069
9,iter21,silhouette,3 relevant,0.114119375602099
10,iter21,silhouette,3 relevant,0.110752761573515
11,iter21,silhouette,3 relevant,0.109558618467184
12,iter21,silhouette,3 relevant,0.105731310994114
2,iter22,silhouette,3 relevant,0.0603486903385042
3,iter22,silhouette,3 relevant,0.118142164762484
4,iter22,silhouette,3 relevant,0.115371259423208
5,iter22,silhouette,3 relevant,0.111866003648712
6,iter22,silhouette,3 relevant,0.10740058228013
7,iter22,silhouette,3 relevant,0.112484497646304
8,iter22,silhouette,3 relevant,0.108704659497066
9,iter22,silhouette,3 relevant,0.107436386070223
10,iter22,silhouette,3 relevant,0.104123856467528
11,iter22,silhouette,3 relevant,0.102716189473286
12,iter22,silhouette,3 relevant,0.098232689064501
2,iter23,silhouette,3 relevant,0.0654037569742737
3,iter23,silhouette,3 relevant,0.122651280765257
4,iter23,silhouette,3 relevant,0.121356058018174
5,iter23,silhouette,3 relevant,0.11749781574793
6,iter23,silhouette,3 relevant,0.114155135056649
7,iter23,silhouette,3 relevant,0.118353819298273
8,iter23,silhouette,3 relevant,0.115216606736539
9,iter23,silhouette,3 relevant,0.114553235338684
10,iter23,silhouette,3 relevant,0.111149122216314
11,iter23,silhouette,3 relevant,0.107689042230993
12,iter23,silhouette,3 relevant,0.105764016243123
2,iter24,silhouette,3 relevant,0.0656397146459954
3,iter24,silhouette,3 relevant,0.122726601319883
4,iter24,silhouette,3 relevant,0.121465766468791
5,iter24,silhouette,3 relevant,0.117701818541112
6,iter24,silhouette,3 relevant,0.114377735205468
7,iter24,silhouette,3 relevant,0.118593400628687
8,iter24,silhouette,3 relevant,0.115442425128932
9,iter24,silhouette,3 relevant,0.113702837510297
10,iter24,silhouette,3 relevant,0.111462960136614
11,iter24,silhouette,3 relevant,0.11024963972021
12,iter24,silhouette,3 relevant,0.106570884542285
2,iter25,silhouette,3 relevant,0.0610347568202158
3,iter25,silhouette,3 relevant,0.120146377890462
4,iter25,silhouette,3 relevant,0.118055825240084
5,iter25,silhouette,3 relevant,0.113896483222901
6,iter25,silhouette,3 relevant,0.111888890607612
7,iter25,silhouette,3 relevant,0.114569419128732
8,iter25,silhouette,3 relevant,0.112445694416022
9,iter25,silhouette,3 relevant,0.110603774518188
10,iter25,silhouette,3 relevant,0.108434102804936
11,iter25,silhouette,3 relevant,0.105962452093816
12,iter25,silhouette,3 relevant,0.102971893531607
2,iter26,silhouette,3 relevant,0.0609038731853108
3,iter26,silhouette,3 relevant,0.12135822329095
4,iter26,silhouette,3 relevant,0.118927554162851
5,iter26,silhouette,3 relevant,0.115866292788648
6,iter26,silhouette,3 relevant,0.111750266973066
7,iter26,silhouette,3 relevant,0.116011317415903
8,iter26,silhouette,3 relevant,0.113965381905843
9,iter26,silhouette,3 relevant,0.112003130857041
10,iter26,silhouette,3 relevant,0.107894507461999
11,iter26,silhouette,3 relevant,0.104807101154465
12,iter26,silhouette,3 relevant,0.10390782187958
2,iter27,silhouette,3 relevant,0.0615921921104744
3,iter27,silhouette,3 relevant,0.124429960929761
4,iter27,silhouette,3 relevant,0.122787927393404
5,iter27,silhouette,3 relevant,0.11874673601226
6,iter27,silhouette,3 relevant,0.114492349835086
7,iter27,silhouette,3 relevant,0.121111744574604
8,iter27,silhouette,3 relevant,0.118022211245131
9,iter27,silhouette,3 relevant,0.115384098059043
10,iter27,silhouette,3 relevant,0.113024807525276
11,iter27,silhouette,3 relevant,0.109553192642366
12,iter27,silhouette,3 relevant,0.107405404601089
2,iter28,silhouette,3 relevant,0.0636318228138298
3,iter28,silhouette,3 relevant,0.121484082124538
4,iter28,silhouette,3 relevant,0.119088344459947
5,iter28,silhouette,3 relevant,0.115922926415799
6,iter28,silhouette,3 relevant,0.111079185529945
7,iter28,silhouette,3 relevant,0.115211576512515
8,iter28,silhouette,3 relevant,0.111986695073529
9,iter28,silhouette,3 relevant,0.109546281188782
10,iter28,silhouette,3 relevant,0.106747027247277
11,iter28,silhouette,3 relevant,0.10403387587019
12,iter28,silhouette,3 relevant,0.101659215424619
2,iter29,silhouette,3 relevant,0.0637824737035804
3,iter29,silhouette,3 relevant,0.119450836940952
4,iter29,silhouette,3 relevant,0.116991820310787
5,iter29,silhouette,3 relevant,0.112946389710385
6,iter29,silhouette,3 relevant,0.109932087646522
7,iter29,silhouette,3 relevant,0.11487954809216
8,iter29,silhouette,3 relevant,0.11253008429248
9,iter29,silhouette,3 relevant,0.109639503253268
10,iter29,silhouette,3 relevant,0.108046767310382
11,iter29,silhouette,3 relevant,0.106020738912927
12,iter29,silhouette,3 relevant,0.104214644849257
2,iter30,silhouette,3 relevant,0.0624584755470749
3,iter30,silhouette,3 relevant,0.120128622987038
4,iter30,silhouette,3 relevant,0.118138045216949
5,iter30,silhouette,3 relevant,0.114751744793599
6,iter30,silhouette,3 relevant,0.110728310947163
7,iter30,silhouette,3 relevant,0.114286130497121
8,iter30,silhouette,3 relevant,0.113445822992678
9,iter30,silhouette,3 relevant,0.110226828614061
10,iter30,silhouette,3 relevant,0.108589257848034
11,iter30,silhouette,3 relevant,0.10554144958157
12,iter30,silhouette,3 relevant,0.103891133515304
2,iter1,separability index,3 relevant,0.735
3,iter1,separability index,3 relevant,0.985
4,iter1,separability index,3 relevant,0.985
5,iter1,separability index,3 relevant,0.985
6,iter1,separability index,3 relevant,0.96
7,iter1,separability index,3 relevant,0.96
8,iter1,separability index,3 relevant,0.965
9,iter1,separability index,3 relevant,0.97
10,iter1,separability index,3 relevant,0.965
11,iter1,separability index,3 relevant,0.96
12,iter1,separability index,3 relevant,0.965
2,iter2,separability index,3 relevant,0.74
3,iter2,separability index,3 relevant,0.99
4,iter2,separability index,3 relevant,0.99
5,iter2,separability index,3 relevant,0.995
6,iter2,separability index,3 relevant,0.995
7,iter2,separability index,3 relevant,0.995
8,iter2,separability index,3 relevant,0.995
9,iter2,separability index,3 relevant,0.995
10,iter2,separability index,3 relevant,0.995
11,iter2,separability index,3 relevant,0.995
12,iter2,separability index,3 relevant,0.99
2,iter3,separability index,3 relevant,0.735
3,iter3,separability index,3 relevant,0.965
4,iter3,separability index,3 relevant,0.975
5,iter3,separability index,3 relevant,0.97
6,iter3,separability index,3 relevant,0.965
7,iter3,separability index,3 relevant,0.97
8,iter3,separability index,3 relevant,0.97
9,iter3,separability index,3 relevant,0.97
10,iter3,separability index,3 relevant,0.965
11,iter3,separability index,3 relevant,0.975
12,iter3,separability index,3 relevant,0.97
2,iter4,separability index,3 relevant,0.705
3,iter4,separability index,3 relevant,1
4,iter4,separability index,3 relevant,1
5,iter4,separability index,3 relevant,1
6,iter4,separability index,3 relevant,1
7,iter4,separability index,3 relevant,1
8,iter4,separability index,3 relevant,1
9,iter4,separability index,3 relevant,1
10,iter4,separability index,3 relevant,1
11,iter4,separability index,3 relevant,1
12,iter4,separability index,3 relevant,1
2,iter5,separability index,3 relevant,0.75
3,iter5,separability index,3 relevant,1
4,iter5,separability index,3 relevant,0.995
5,iter5,separability index,3 relevant,0.99
6,iter5,separability index,3 relevant,0.985
7,iter5,separability index,3 relevant,0.99
8,iter5,separability index,3 relevant,0.99
9,iter5,separability index,3 relevant,0.99
10,iter5,separability index,3 relevant,0.99
11,iter5,separability index,3 relevant,0.99
12,iter5,separability index,3 relevant,0.99
2,iter6,separability index,3 relevant,0.775
3,iter6,separability index,3 relevant,0.98
4,iter6,separability index,3 relevant,0.975
5,iter6,separability index,3 relevant,0.975
6,iter6,separability index,3 relevant,0.98
7,iter6,separability index,3 relevant,0.97
8,iter6,separability index,3 relevant,0.955
9,iter6,separability index,3 relevant,0.96
10,iter6,separability index,3 relevant,0.955
11,iter6,separability index,3 relevant,0.975
12,iter6,separability index,3 relevant,0.96
2,iter7,separability index,3 relevant,0.67
3,iter7,separability index,3 relevant,0.99
4,iter7,separability index,3 relevant,0.985
5,iter7,separability index,3 relevant,0.98
6,iter7,separability index,3 relevant,0.985
7,iter7,separability index,3 relevant,0.98
8,iter7,separability index,3 relevant,0.975
9,iter7,separability index,3 relevant,0.965
10,iter7,separability index,3 relevant,0.965
11,iter7,separability index,3 relevant,0.965
12,iter7,separability index,3 relevant,0.97
2,iter8,separability index,3 relevant,0.705
3,iter8,separability index,3 relevant,0.985
4,iter8,separability index,3 relevant,0.985
5,iter8,separability index,3 relevant,0.985
6,iter8,separability index,3 relevant,0.98
7,iter8,separability index,3 relevant,0.985
8,iter8,separability index,3 relevant,0.985
9,iter8,separability index,3 relevant,0.985
10,iter8,separability index,3 relevant,0.985
11,iter8,separability index,3 relevant,0.985
12,iter8,separability index,3 relevant,0.98
2,iter9,separability index,3 relevant,0.72
3,iter9,separability index,3 relevant,0.995
4,iter9,separability index,3 relevant,0.99
5,iter9,separability index,3 relevant,0.985
6,iter9,separability index,3 relevant,0.99
7,iter9,separability index,3 relevant,0.99
8,iter9,separability index,3 relevant,0.99
9,iter9,separability index,3 relevant,0.985
10,iter9,separability index,3 relevant,0.99
11,iter9,separability index,3 relevant,0.99
12,iter9,separability index,3 relevant,0.995
2,iter10,separability index,3 relevant,0.765
3,iter10,separability index,3 relevant,0.995
4,iter10,separability index,3 relevant,0.995
5,iter10,separability index,3 relevant,0.98
6,iter10,separability index,3 relevant,0.98
7,iter10,separability index,3 relevant,0.99
8,iter10,separability index,3 relevant,0.985
9,iter10,separability index,3 relevant,0.98
10,iter10,separability index,3 relevant,0.98
11,iter10,separability index,3 relevant,0.97
12,iter10,separability index,3 relevant,0.97
2,iter11,separability index,3 relevant,0.765
3,iter11,separability index,3 relevant,0.98
4,iter11,separability index,3 relevant,0.97
5,iter11,separability index,3 relevant,0.975
6,iter11,separability index,3 relevant,0.98
7,iter11,separability index,3 relevant,0.97
8,iter11,separability index,3 relevant,0.975
9,iter11,separability index,3 relevant,0.975
10,iter11,separability index,3 relevant,0.97
11,iter11,separability index,3 relevant,0.97
12,iter11,separability index,3 relevant,0.96
2,iter12,separability index,3 relevant,0.745
3,iter12,separability index,3 relevant,1
4,iter12,separability index,3 relevant,1
5,iter12,separability index,3 relevant,0.995
6,iter12,separability index,3 relevant,1
7,iter12,separability index,3 relevant,0.99
8,iter12,separability index,3 relevant,0.99
9,iter12,separability index,3 relevant,0.995
10,iter12,separability index,3 relevant,0.99
11,iter12,separability index,3 relevant,0.995
12,iter12,separability index,3 relevant,0.985
2,iter13,separability index,3 relevant,0.735
3,iter13,separability index,3 relevant,0.99
4,iter13,separability index,3 relevant,0.99
5,iter13,separability index,3 relevant,0.975
6,iter13,separability index,3 relevant,0.98
7,iter13,separability index,3 relevant,0.98
8,iter13,separability index,3 relevant,0.97
9,iter13,separability index,3 relevant,0.975
10,iter13,separability index,3 relevant,0.975
11,iter13,separability index,3 relevant,0.98
12,iter13,separability index,3 relevant,0.98
2,iter14,separability index,3 relevant,0.69
3,iter14,separability index,3 relevant,0.965
4,iter14,separability index,3 relevant,0.965
5,iter14,separability index,3 relevant,0.955
6,iter14,separability index,3 relevant,0.955
7,iter14,separability index,3 relevant,0.96
8,iter14,separability index,3 relevant,0.97
9,iter14,separability index,3 relevant,0.97
10,iter14,separability index,3 relevant,0.975
11,iter14,separability index,3 relevant,0.975
12,iter14,separability index,3 relevant,0.97
2,iter15,separability index,3 relevant,0.755
3,iter15,separability index,3 relevant,0.98
4,iter15,separability index,3 relevant,0.985
5,iter15,separability index,3 relevant,0.99
6,iter15,separability index,3 relevant,0.99
7,iter15,separability index,3 relevant,0.99
8,iter15,separability index,3 relevant,0.99
9,iter15,separability index,3 relevant,0.99
10,iter15,separability index,3 relevant,0.99
11,iter15,separability index,3 relevant,0.99
12,iter15,separability index,3 relevant,0.985
2,iter16,separability index,3 relevant,0.725
3,iter16,separability index,3 relevant,0.98
4,iter16,separability index,3 relevant,0.975
5,iter16,separability index,3 relevant,0.975
6,iter16,separability index,3 relevant,0.985
7,iter16,separability index,3 relevant,0.985
8,iter16,separability index,3 relevant,0.985
9,iter16,separability index,3 relevant,0.985
10,iter16,separability index,3 relevant,0.985
11,iter16,separability index,3 relevant,0.99
12,iter16,separability index,3 relevant,0.985
2,iter17,separability index,3 relevant,0.745
3,iter17,separability index,3 relevant,1
4,iter17,separability index,3 relevant,0.995
5,iter17,separability index,3 relevant,0.99
6,iter17,separability index,3 relevant,0.995
7,iter17,separability index,3 relevant,0.995
8,iter17,separability index,3 relevant,0.99
9,iter17,separability index,3 relevant,0.995
10,iter17,separability index,3 relevant,0.995
11,iter17,separability index,3 relevant,0.995
12,iter17,separability index,3 relevant,0.995
2,iter18,separability index,3 relevant,0.695
3,iter18,separability index,3 relevant,0.99
4,iter18,separability index,3 relevant,0.99
5,iter18,separability index,3 relevant,0.99
6,iter18,separability index,3 relevant,0.99
7,iter18,separability index,3 relevant,0.985
8,iter18,separability index,3 relevant,0.99
9,iter18,separability index,3 relevant,0.985
10,iter18,separability index,3 relevant,0.975
11,iter18,separability index,3 relevant,0.985
12,iter18,separability index,3 relevant,0.98
2,iter19,separability index,3 relevant,0.795
3,iter19,separability index,3 relevant,0.98
4,iter19,separability index,3 relevant,0.975
5,iter19,separability index,3 relevant,0.975
6,iter19,separability index,3 relevant,0.985
7,iter19,separability index,3 relevant,0.98
8,iter19,separability index,3 relevant,0.985
9,iter19,separability index,3 relevant,0.98
10,iter19,separability index,3 relevant,0.98
11,iter19,separability index,3 relevant,0.975
12,iter19,separability index,3 relevant,0.975
2,iter20,separability index,3 relevant,0.785
3,iter20,separability index,3 relevant,0.985
4,iter20,separability index,3 relevant,0.98
5,iter20,separability index,3 relevant,0.985
6,iter20,separability index,3 relevant,0.975
7,iter20,separability index,3 relevant,0.985
8,iter20,separability index,3 relevant,0.98
9,iter20,separability index,3 relevant,0.97
10,iter20,separability index,3 relevant,0.97
11,iter20,separability index,3 relevant,0.955
12,iter20,separability index,3 relevant,0.97
2,iter21,separability index,3 relevant,0.735
3,iter21,separability index,3 relevant,0.975
4,iter21,separability index,3 relevant,0.99
5,iter21,separability index,3 relevant,0.995
6,iter21,separability index,3 relevant,0.97
7,iter21,separability index,3 relevant,0.985
8,iter21,separability index,3 relevant,0.99
9,iter21,separability index,3 relevant,0.995
10,iter21,separability index,3 relevant,0.99
11,iter21,separability index,3 relevant,0.985
12,iter21,separability index,3 relevant,0.98
2,iter22,separability index,3 relevant,0.775
3,iter22,separability index,3 relevant,0.97
4,iter22,separability index,3 relevant,0.975
5,iter22,separability index,3 relevant,0.975
6,iter22,separability index,3 relevant,0.97
7,iter22,separability index,3 relevant,0.975
8,iter22,separability index,3 relevant,0.97
9,iter22,separability index,3 relevant,0.975
10,iter22,separability index,3 relevant,0.965
11,iter22,separability index,3 relevant,0.96
12,iter22,separability index,3 relevant,0.97
2,iter23,separability index,3 relevant,0.765
3,iter23,separability index,3 relevant,1
4,iter23,separability index,3 relevant,1
5,iter23,separability index,3 relevant,1
6,iter23,separability index,3 relevant,1
7,iter23,separability index,3 relevant,1
8,iter23,separability index,3 relevant,1
9,iter23,separability index,3 relevant,1
10,iter23,separability index,3 relevant,1
11,iter23,separability index,3 relevant,1
12,iter23,separability index,3 relevant,1
2,iter24,separability index,3 relevant,0.73
3,iter24,separability index,3 relevant,0.99
4,iter24,separability index,3 relevant,0.99
5,iter24,separability index,3 relevant,0.985
6,iter24,separability index,3 relevant,0.985
7,iter24,separability index,3 relevant,0.985
8,iter24,separability index,3 relevant,0.985
9,iter24,separability index,3 relevant,0.99
10,iter24,separability index,3 relevant,0.99
11,iter24,separability index,3 relevant,0.985
12,iter24,separability index,3 relevant,0.985
2,iter25,separability index,3 relevant,0.725
3,iter25,separability index,3 relevant,0.97
4,iter25,separability index,3 relevant,0.97
5,iter25,separability index,3 relevant,0.975
6,iter25,separability index,3 relevant,0.975
7,iter25,separability index,3 relevant,0.985
8,iter25,separability index,3 relevant,0.98
9,iter25,separability index,3 relevant,0.975
10,iter25,separability index,3 relevant,0.98
11,iter25,separability index,3 relevant,0.97
12,iter25,separability index,3 relevant,0.975
2,iter26,separability index,3 relevant,0.745
3,iter26,separability index,3 relevant,0.99
4,iter26,separability index,3 relevant,0.995
5,iter26,separability index,3 relevant,0.995
6,iter26,separability index,3 relevant,0.99
7,iter26,separability index,3 relevant,0.995
8,iter26,separability index,3 relevant,0.995
9,iter26,separability index,3 relevant,0.995
10,iter26,separability index,3 relevant,0.98
11,iter26,separability index,3 relevant,0.98
12,iter26,separability index,3 relevant,0.985
